review_id,sentence_id,text,category,polarity,target,from_num,to_num
346,68:1,But the screen size is not that bad for email and web browsing.,DISPLAY#DESIGN_FEATURES,neutral,,0,0
320,145:0,Purchased a Toshiba Lap top it worked good until just after the warrenty went out.,LAPTOP#QUALITY,neutral,,0,0
45,25:1,"I spent 2200 dollars on a ""top of the line laptop"".",LAPTOP#PRICE,negative,,0,0
111,289:6,Im glad that it has such great features in it.,LAPTOP#DESIGN_FEATURES,positive,,0,0
112,43:2,"The system constantly overheats, the battery life is too short, the case is coming apart, and my core applications that I use every day in my work as a graphic artist run poorly.",BATTERY#OPERATION_PERFORMANCE,negative,,0,0
364,283:0,"Screen is awesome, battery life is good.",DISPLAY#GENERAL,positive,,0,0
364,124:5,"The 4 USB ports are nice, but the two on the side only work now and then.",LAPTOP#DESIGN_FEATURES,positive,,0,0
81,169:0,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.",LAPTOP#DESIGN_FEATURES,positive,,0,0
48,354:0,This is a great little computer for the price.,LAPTOP#PRICE,neutral,,0,0
283,143:1,I thought we were paying for quality in our decision to buy an Apple product.,COMPANY#GENERAL,negative,,0,0
202,300:3,I recently purchased the mini and absolutely love it!,LAPTOP#GENERAL,positive,,0,0
83,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive,,0,0
308,304:2,"The track pad to me is what really stands out though, you can do several different things with it just depending on how many fingers you use on the track pad, awesome thinking Apple!",COMPANY#GENERAL,positive,,0,0
212,341:2,"I also love the design, the looks, the feel, and the my toshiba feature is wonderfull.",LAPTOP#QUALITY,positive,,0,0
380,152:1,The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.,POWER_SUPPLY#QUALITY,negative,,0,0
325,336:1,"Needs Power and Mouse Cable to Plug in back instead of side, In the way of operating a mouse in small area.",MOUSE#OPERATION_PERFORMANCE,neutral,,0,0
22,277:2,"The screen takes some getting use to, because it is smaller than the laptop.",DISPLAY#DESIGN_FEATURES,neutral,,0,0
348,102:1,It started out getting hot after only a few months.,LAPTOP#QUALITY,negative,,0,0
134,367:3,It's super fast and a great value for the price!,LAPTOP#PRICE,neutral,,0,0
270,230:18,HP didn't fix it.,SUPPORT#QUALITY,negative,,0,0
292,370:2,"Not super fancy, but not super expensive either.",LAPTOP#DESIGN_FEATURES,neutral,,0,0
154,31:4,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",LAPTOP#OPERATION_PERFORMANCE,positive,,0,0
382,22:5,"The video card is great for media, and above average for gaming, but not a gamers first choice.",GRAPHICS#MISCELLANEOUS,negative,,0,0
384,231:4,"The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.",OS#OPERATION_PERFORMANCE,negative,,0,0
368,345:0,Overall for the money this is a good deal.,LAPTOP#PRICE,neutral,,0,0
164,391:13,The reflectiveness of the display is only a minor inconvenience if you work in a controlled-lighting environment like me (I prefer it dark) or if you can crank up the brightness.,DISPLAY#QUALITY,neutral,,0,0
90,289:4,"If I had to buy another computer, I would most definetly buy an acer one computer.",LAPTOP#GENERAL,positive,,0,0
150,6:14,It's a bummer and one out of five is being kind.,LAPTOP#GENERAL,negative,,0,0
88,79:3,super fast processor and really nice graphics card..,CPU#OPERATION_PERFORMANCE,positive,,0,0
254,71:1,"In those three years, I've had a couple of minor problems and both were resolved by Apple quickly and easily.",SUPPORT#QUALITY,positive,,0,0
344,340:1,Good monitor and performed well.,DISPLAY#GENERAL,positive,,0,0
143,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#PRICE,neutral,,0,0
77,283:3,"Speakers don't get that loud, but good enough.",MULTIMEDIA_DEVICES#QUALITY,neutral,,0,0
60,165:8,I am very Happy!,LAPTOP#GENERAL,positive,,0,0
95,314:6,great machine if you want to drop the cash for one.,LAPTOP#GENERAL,positive,,0,0
139,29:0,The Macbook is a fantastic laptop.,LAPTOP#GENERAL,positive,,0,0
346,298:0,"Waiting for the i7 was well worth it, great value for the price.",LAPTOP#PRICE,neutral,,0,0
191,3:2,Everything from the design to the OS is simple and to the point.,OS#GENERAL,positive,,0,0
95,130:3,returned it.,LAPTOP#GENERAL,negative,,0,0
360,81:0,"Good keyboard, long battery life, largest hard drive and windows 7.",OS#GENERAL,neutral,,0,0
131,1:5,The mouse is a little bit different than what you're used to though- it has one big flat panel and one full bar (instead of two separate ones) to click with- but you get used to it quite quickly.,MOUSE#DESIGN_FEATURES,neutral,,0,0
169,298:3,I have used PC's and converting to this MacBook Pro was easy.,LAPTOP#USABILITY,positive,,0,0
322,306:2,"I upgraded the memory and replaced the base Windows 7 Starter to Win 7 Home, and it runs just fine.",LAPTOP#USABILITY,neutral,,0,0
54,292:0,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive,,0,0
321,60:4,I am going to go back and return at Store I bought from!,LAPTOP#GENERAL,negative,,0,0
28,69:4,"The Final Cut Pro on this laptop is so fast and easy, and I can use this to seemlessly transfer all my work to my home computer, which is also a mac.",SOFTWARE#OPERATION_PERFORMANCE,positive,,0,0
368,73:4,lots of extra space but the keyboard is ridiculously small.,LAPTOP#DESIGN_FEATURES,neutral,,0,0
