review_id,sentence_id,text,category,polarity,target,from_num,to_num
1297844,1205520:1,Even after they overcharged me the last time I was there.,SERVICE#GENERAL,negative,,,0
496132,1287538:2,The restaurant is cute but not upscale.,RESTAURANT#GENERAL,neutral,restaurant,restaurant,14
1227999,535171:4,Loved it!,RESTAURANT#GENERAL,positive,,,0
578016,1125006:3,My wife had the fried shrimp which are huge and loved it.,FOOD#QUALITY,positive,fried shrimp,fried shrimp,28
1264954,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive,menu,menu,34
1199292,1719567:1,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",FOOD#STYLE_OPTIONS,negative,,,0
773720,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral,Service,Service,21
1538149,565344:1,This little place definitely exceeded my expectations and you sure get a lot of food for your money.,RESTAURANT#GENERAL,positive,place,place,17
1417496,1748813:2,I highly recommend the Sophia pizza.,FOOD#QUALITY,positive,Sophia pizza,Sophia pizza,35
436868,1310217:2,The price is reasonable although the service is poor.,RESTAURANT#PRICES,positive,,,0
535171,1448587:0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",FOOD#QUALITY,neutral,food,food,108
1730127,1459569:3,Food was good not great not worth the wait or another visit,FOOD#QUALITY,neutral,Food,Food,4
608500,682250:1,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",FOOD#STYLE_OPTIONS,neutral,portions,portions,12
436868,1572033:2,This place is always packed.,AMBIENCE#GENERAL,neutral,place,place,10
1062641,758263:3,$20 for all you can eat sushi cannot be beaten.,FOOD#PRICES,positive,all you can eat sushi,all you can eat sushi,29
1340075,454704:3,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",SERVICE#GENERAL,negative,,,0
1147082,433878:6,NO PIZZA 33 for me!,RESTAURANT#GENERAL,negative,PIZZA 33,PIZZA 33,11
483111,558423:4,"However, if you want great food at a great price and don't mind the decor, you can't beat this place.",AMBIENCE#GENERAL,neutral,decor,decor,73
461928,1058221:2,the food is decent.,FOOD#QUALITY,neutral,food,food,8
1162037,1303984:3,The scallion pancakes and fried dumplings were nothing out of the ordinary.,FOOD#QUALITY,neutral,fried dumplings,fried dumplings,41
1357554,1154550:1,The place is small and cramped but the food is fantastic.,AMBIENCE#GENERAL,negative,place,place,9
740923,378848:2,I'm sure I'll return for a final judgement tho.,RESTAURANT#GENERAL,neutral,,,0
378848,754495:2,The food is okay and the prices here are mediocre.,FOOD#QUALITY,neutral,food,food,8
1297844,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,negative,,,0
1661757,1496707:4,A little noise but I think that was because of our party!,AMBIENCE#GENERAL,neutral,,,0
1718513,503807:6,The restaurant is a bit noisy but that is something that can be overlooked once you sit down and enjoy a great meal,AMBIENCE#GENERAL,negative,restaurant,restaurant,14
1102681,955711:0,This place blew me away...by far my new favorite restaurant on the uppereast side.,RESTAURANT#GENERAL,positive,place,place,10
494850,512294:0,"Great food, great prices, great service.",FOOD#QUALITY,positive,food,food,10
1064477,1297844:4,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,FOOD#STYLE_OPTIONS,negative,bagel,bagel,48
615180,1603698:2,"Both times I was extremely dissappointed by the service, which was boarderline rude.",SERVICE#GENERAL,negative,service,service,55
1387314,1476493:1,Everything we had was good or ok....but definitely nothing great.,FOOD#QUALITY,neutral,,,0
1269216,430342:2,I really like both the scallops and the mahi mahi (on saffron risotto-yum!).,FOOD#QUALITY,positive,mahi mahi (on saffron risotto,mahi mahi (on saffron risotto,69
507844,1439875:0,The food is amazing... especially if you get the Chef's tasting menu and your favourite bottle (or two!) of wine from an extensive selection of wines.,FOOD#QUALITY,positive,Chef's tasting menu,Chef's tasting menu,68
1572033,433878:2,They smell like they stuff them with old canned vegetables like the spinach mushroom calzone.,FOOD#QUALITY,negative,,,0
1723658,1470334:2,"The bagels always warm, soft on the inside, crispy on the outside and enormous in size.",FOOD#QUALITY,positive,bagels,bagels,10
555734,1280179:1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ",SERVICE#GENERAL,neutral,Service,Service,21
528251,1439875:5,Please be aware that it's CASH or AMEX only!,RESTAURANT#MISCELLANEOUS,neutral,,,0
1138996,1058221:5,"i know, you were too busy showing off your vintage tee shirt and looking bored, but my agenda is i'm here to eat and enjoy the company of friends, seeking a pleasant experience.",SERVICE#GENERAL,negative,,,0
1212346,507844:4,"Terrible, terrible management - deserves to be shut-down.",SERVICE#GENERAL,negative,management,management,29
1431154,1395421:4,Check this place out!,RESTAURANT#GENERAL,positive,place,place,16
1123262,1126814:0,"Leon is an East Village gem: casual but hip, with well prepared basic French bistro fare, good specials, a warm and lively atmosphere.",AMBIENCE#GENERAL,positive,atmosphere,atmosphere,133
444818,773720:1,I would highly recommand requesting a table by the window.,LOCATION#GENERAL,positive,table by the window,table by the window,57
530517,1300636:0,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,SERVICE#GENERAL,positive,service,service,94
511290,1439875:3,The food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you don't like.,SERVICE#GENERAL,positive,,,0
1147082,1486041:1,The owner and staff are all Japanese as well and that adds to the entire ambiance.,RESTAURANT#MISCELLANEOUS,positive,staff,staff,19
426930,1706644:4,"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",AMBIENCE#GENERAL,positive,back patio,back patio,28
1413697,1476493:1,Everything we had was good or ok....but definitely nothing great.,FOOD#QUALITY,neutral,,,0
1726001,1221938:0,The drinks are always welll made and wine selection is fairly priced.,DRINKS#QUALITY,positive,drinks,drinks,10
1431154,1671113:2,"I have tried to make reservations, but both times, the hostess didn't have my name.",SERVICE#GENERAL,negative,hostess,hostess,62
1287538,632121:4,"If only they delivered, they'd make a mint!",RESTAURANT#MISCELLANEOUS,neutral,,,0
1154550,1253117:3,"Also, because it is so thin, it gets cold very quickly and its not that filling.",FOOD#QUALITY,negative,,,0
1357554,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",FOOD#STYLE_OPTIONS,neutral,menu,menu,46
1090587,1297844:5,I loved it and would HIGHLY RECOMMEND.,RESTAURANT#GENERAL,positive,,,0
433878,1661757:3,"I wasn't thrilled to have to wait on line for thirty minutes, but I guess that's the price you pay for a popular place.",SERVICE#GENERAL,neutral,,,0
1655521,1713185:1,"The last two times I ordered from here my food was soo spicy that  I could barely eat it, and the spice took away from the flavor of the dish.",FOOD#QUALITY,negative,spice,spice,103
1706644,720418:4,Great food and the prices are very reasonable.,FOOD#QUALITY,positive,food,food,10
378848,1713185:3,If you want good authentic Thai this place is not the place to go.,FOOD#QUALITY,negative,Thai,Thai,31
1286916,527109:4,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",RESTAURANT#PRICES,neutral,,,0
1145510,1710746:2,My son and his girlfriend both wanted cheeseburgers and they were huge!,FOOD#STYLE_OPTIONS,neutral,cheeseburgers,cheeseburgers,51
1410878,1167434:5,"those rolls were big, but not good and sashimi wasn't fresh.",FOOD#STYLE_OPTIONS,neutral,rolls,rolls,11
1459569,1398844:2,"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.",FOOD#STYLE_OPTIONS,neutral,menu,menu,46
436868,1710746:3,"But, they were too big for the bun.",FOOD#STYLE_OPTIONS,negative,,,0
485026,1710746:7,It was $14 not really bad for a pound of Pastrami-but it didn't have much taste-I've had better for less elsewhere!,FOOD#PRICES,neutral,,,0
1748839,1162037:1,"With the great variety on the menu , I eat here often and never get bored .",FOOD#STYLE_OPTIONS,positive,menu,menu,34
1748839,1496205:4,"The quantity is also very good, you will come out satisfied.",FOOD#STYLE_OPTIONS,positive,quantity,quantity,12
